	Smiles String	agg
0	FC(F)(F)S(=O)(=O)c1ccc(cc1)S(=O)(=O)C(F)(F)F	NONAGG
1	N\N=C/1\C(=O)N(CC(=O)Nc2ccccc2)c3ccccc13	NONAGG
2	COc1ccc2O\C(=N\NC(=O)c3ccc(Br)cc3)\C(=Cc2c1)C(=O)N	NONAGG
3	COc1ccc2C=C(C(=O)Oc2c1)c3nnc(N)s3	NONAGG
5	COc1cccc(OC)c1C(=O)NC2=C(C)N(C)N(C2=O)c3ccccc3	NONAGG
7	COc1ccc(cc1OC)C2N(Cc3ccccc3)C(=O)C(=C2C(=O)C)O	NONAGG
8	CCN(CC)c1ccc(\C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c(O)c1	NONAGG
9	Fc1ccc(cc1)C(=O)N2CCN(Cc3ccc4ccccc4c3)CC2	NONAGG
10	Nc1ccc(cc1)C2(c3ccc(N)cc3)c4ccccc4c5ccccc25	AGG
11	CCOC(=O)C1C(CN(C(=O)c2ccc(OC)cc2)C1=O)c3ccccc3	NONAGG
12	COCCOC(=O)C1=C(C)NC2=C(C1c3ccc(OC)cc3OC)C(=O)CC(C)(C)C2	NONAGG
13	COc1ccc(cc1)C(=O)N\N=C\c2cc(Cl)ccc2O	AGG
14	C1C=CC2C1C(Nc3ccc4ccccc4c23)c5ccccc5	AGG
15	CN1C(=O)N(C)C(=O)C(=Cc2ccccc2OCc3ccc(cc3)[N+](=O)[O-])C1=O	NONAGG
16	COC(=O)C1=C(C)OC(=C(C#N)C1c2ccccc2)N	NONAGG
17	COC(=O)C1=C(C)N=C2S\C(=C\c3ccccc3)\C(=O)N2C1c4ccccc4Cl	NONAGG
18	CCCCN1C(=N)N(CCO)c2ccccc12	NONAGG
19	CCOc1ccc(Nc2nc(Cl)nc(Nc3ccc(OC)c(OC)c3)n2)cc1	AGG
20	Cc1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)Nc3nc(C)cc(C)n3	NONAGG
21	Cc1nc(C)c(N)c(O)n1	NONAGG
22	COc1cc(cc(OC)c1OC)C2Nc3cccc4cccc(N2)c34	NONAGG
23	CN(Cc1ccccc1)C(=O)c2cccc(c2)[N+](=O)[O-]	NONAGG
24	CCS(=O)(=O)CCc1nnc(NC(=O)Nc2cccc(c2)C(F)(F)F)s1	NONAGG
25	Cc1ccc(cn1)C(=O)N\N=C\c2c(O)ccc3ccccc23	NONAGG
27	Brc1ccc(\C=N\NC(=O)c2cccs2)cc1	AGG
28	O=C(N\N=C\c1cccnc1)NC23CC4CC(CC(C4)C2)C3	NONAGG
29	CC(C)c1ccc(C)cc1OCCNc2nc3N(C)C(=O)N(C)C(=O)c3n2C	NONAGG
30	CC12CC3CC(C)(C1)CC(CNC(=O)c4ccc(cc4)[N+](=O)[O-])(C3)C2	NONAGG
31	CN(C)c1oc(nc1S(=O)(=O)c2ccc(C)cc2)c3ccccc3	AGG
32	CC(C)NC(=O)C1=Cc2ccccc2OC1=O	NONAGG
33	CCOC(=O)c1c(C)nc2n(Cc3ccccc3)c4ccccc4n12	NONAGG
34	CCCOC(=O)c1ccc(NS(=O)(=O)C)cc1	NONAGG
35	Br\C(=C/c1ccccc1)\C=N\NC(=O)CNc2cccc3ccccc23	AGG
36	Cc1ccc(cc1)S(=O)(=O)Nc2ccccc2C(=O)Nc3nc(cs3)c4ccc(F)cc4	AGG
37	COC(=O)c1ccc(\C=N/N2CCN(CC2)c3ccccn3)cc1	NONAGG
39	Cc1cccc(N2C(=O)C(=C(Nc3ccccc3)C2=O)Cl)c1C	AGG
40	O=C(OCC(=O)c1ccccc1)C(c2ccccc2)c3ccccc3	AGG
41	[O-][N+](=O)c1ccc2NC(=O)\C(=N\N=C(\Nc3ccccn3)/c4ccccn4)\c2c1	NONAGG
42	OC(=O)CN1C(=O)CSC1=S	NONAGG
43	Cc1onc(c2ccccc2Cl)c1C(=O)N3CCN(CC3)c4ccc(F)cc4	NONAGG
44	COc1cccc(\C=C\2/NC(=S)NC2=O)c1O	NONAGG
45	CCc1nnc(NC(=O)c2nc[nH]n2)s1	NONAGG
46	CCOC(=O)c1c(C)c(C)sc1NC(=O)Cc2cccc3ccccc23	AGG
47	C\C(=N/NC(=O)c1cc(n[nH]1)C2CC2)\c3ccccc3	NONAGG
48	Fc1ccc(cc1)C(=O)Nc2nc3c(cc4CCc5cccc3c45)s2	AGG
49	FC1=CN(Cc2ccccc2)C(=O)N(Cc3ccccc3)C1=O	NONAGG
50	Cc1ccc(cc1)C(=O)Nc2ccc(N)cc2	NONAGG
54	CCOc1ccccc1C(=O)Nc2cc(Cl)ccc2Cl	AGG
55	CCCCOc1ccc(cc1)C(=O)C(=C2Nc3ccccc3N2)C#N	AGG
56	CCCC(=O)Nc1sc2CC(C)CCc2c1C(=O)OCC	AMBIG
57	Oc1c(Br)cc(Br)cc1\C=N\N2CCN(Cc3ccccc3Cl)CC2	NONAGG
58	O=C(OCCNC(=O)c1cccnc1)C2COc3ccccc3O2	NONAGG
59	CCOC(=O)C1=Nc2ccccc2C(=O)N1c3ccc(F)cc3F	NONAGG
60	CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3csc(N\N=C\c4ccccc4)n3	AGG
61	Oc1cc2ccccc2cc1C(=O)N\N=C\c3oc(cc3)c4ccc(Cl)cc4	AGG
62	CCOc1ccccc1NC(=O)COc2ccc(cc2)C(C)C	AGG
63	COc1cc(OC)cc(c1)C(=O)N2c3ccccc3Sc4ccccc24	AGG
64	CCOc1cc(\C=C\2/SC(=S)N(NC(=O)c3ccccc3Cl)C2=O)ccc1O	AGG
65	Cc1ccc(CC2S\C(=N\c3ccccc3)\NC2=O)cc1	NONAGG
66	CCOc1ccc(cc1)\N=C\2/SC(CC(=O)N2Cc3ccccc3)C(=O)Nc4ccccc4OC	AGG
67	C\C(=N/NC(=O)c1occc1)\c2ccncc2	NONAGG
68	CC12COC3(CC1CCC23C)C(=O)Nc4nc5ccccc5s4	NONAGG
69	OC(=O)c1cc(ccc1Cl)S(=O)(=O)NCc2occc2	NONAGG
70	Cc1cccc(NC(=O)c2ccc(cc2)S(=O)(=O)N3CCCCC3)c1	AGG
71	CSc1nc(NC(=O)C)n[nH]1	NONAGG
72	COc1cc(\C=N\NC(=O)CN2c3ccccc3C(=O)c4ccccc24)ccc1O	AGG
73	NC(CC=C)(CC=C)c1ccc(cc1)C(N)(CC=C)CC=C	NONAGG
74	COc1ccc(Cl)cc1C2=N\C(=C/c3ccccc3C(F)(F)F)\C(=O)O2	NONAGG
75	COc1ccc(\C=N/NC(=O)c2cc(n[nH]2)C(C)(C)C)cc1OC	NONAGG
76	COc1cccc(CNCCc2cccc(Cl)c2)c1OC	NONAGG
77	C\C(=N/NC(=O)Cc1cccn1C)\c2cccc(Br)c2	NONAGG
78	OC(=O)C1C2CCC(C2)C1C(=O)Nc3nc(cs3)c4ccc(Cl)cc4	NONAGG
79	CCOC(=O)c1c(C)oc2ccc(O)c(CN3CCCCC3)c12	NONAGG
80	CCOC(=O)c1c(C)oc2ccc(OCC(=O)O)cc12	NONAGG
81	CCCCNc1nc(nc2ccccc12)c3ccccc3F	NONAGG
82	Brc1ccc2OC3(CCCC3)N4N=C(CC4c2c1)c5cccs5	AGG
83	Cc1cccc(c1)N2C(=CC(=O)NC2=O)N	NONAGG
84	CN(C)Cc1ccccc1OC(=O)N(C)C	NONAGG
85	Oc1cccnc1N2C(=O)C3C4CC(C=C4)C3C2=O	NONAGG
86	COc1ccc(OC)c(CN2CCN(CC2)C(=O)COc3ccc(Br)cc3)c1	NONAGG
87	CC1(C)CC(=O)c2sc(NC(=O)\C=C\c3ccccc3Cl)nc2C1	AGG
88	Brc1ccc2N=CN(CC(=O)OCc3ccccc3)C(=O)c2c1	NONAGG
89	CCN1C(=C(SC1=S)C(=O)N2CCCCC2)N	NONAGG
90	CCN(CC)Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)c3ccc(OC)c(OC)c3	NONAGG
92	CCOCCOC(=O)C1=C(C)NC(=O)NC1c2cccc(Cl)c2	NONAGG
93	COC(=O)C1=C(C)N(C(=O)/C/1=C\c2ccc(OC)cc2OC)c3ccccc3F	NONAGG
94	NC1=C(C#N)C(C2=C(CCCC2=O)N1c3nc[nH]n3)c4ccc(Cl)cc4Cl	NONAGG
95	COc1ccc(\C=N\NC(=O)COc2ccc3C(=CC(=O)Oc3c2)C)cc1	NONAGG
96	Cc1ccc(NC(=O)CN2C(=O)N\C(=C\c3cc(C)n(c3C)c4cccc(c4)C(=O)O)\C2=O)cc1	NONAGG
97	CCCCOC(=O)CSCC(=O)Nc1cc(C)on1	NONAGG
98	COc1ccc(OC)c(\C=C\2/Sc3ncnn3C2=O)c1	NONAGG
100	CCOC(=O)C1=C(C)N=C2S\C(=C/C=C/c3occc3)\C(=O)N2C1c4ccccc4	NONAGG
101	CCOc1ccc(cc1)C2N3C(=O)CSC3=NC(=C2C(=O)Nc4ccccc4)C	NONAGG
102	Cc1cc(O)nc(n1)N2CCCCC2	NONAGG
103	Fc1cnc(Cl)nc1N2CCN(CC2)c3ccccc3	NONAGG
104	COC(=O)C(C)NC(=O)c1ccc(F)cc1	NONAGG
105	O=C(CN(Cc1ccccc1)S(=O)(=O)c2ccccc2)NC3CC3	NONAGG
106	CC(C)c1ccc(cc1)C(=O)CC2(O)C(=O)N(CCCC#N)c3ccccc23	NONAGG
107	C[N+](C)(N)CCOCC[N+](C)(C)N	NONAGG
108	CC(C)NC(=O)C1CCN(CC1)S(=O)(=O)c2ccc(C)cc2	NONAGG
109	NC1=C(C#N)C(C2=C(O1)Oc3ccccc3C2=O)c4ccc(F)cc4	NONAGG
110	Cc1ccccc1N2C(=S)NC(=O)\C(=C/c3cccn3c4ccccc4)\C2=O	AMBIG
111	CC(C)CC(N1C(=O)c2ccccc2C1=O)C(=O)Nc3c(C)cccc3C	NONAGG
112	CCOC(=O)C1CCN(CC1)C(=O)c2ccc(cc2)C(=O)N3CCC(CC3)C(=O)OCC	NONAGG
113	COc1cc(cc(OC)c1OC)C(=O)N2CCC(C)CC2	NONAGG
114	OC1=C(C(N(C1=O)c2ccccn2)c3ccc(Cl)cc3)C(=O)c4ccc(Cl)cc4	NONAGG
115	CC(C)(C)C(=O)NC1CCSC1=O	NONAGG
116	COc1ccc(cc1C)c2csc(Nc3cccc(C)n3)n2	AGG
117	CC(C)C12CN3CC(CN(C1)C3c4cccnc4)(C(C)C)C2=O	NONAGG
118	CCc1ccccc1NC(=O)C2CCN(CC2)C(=O)c3ccc(OC)c(OC)c3	NONAGG
119	Brc1oc(cc1)C(=O)Nc2ccc3NC(=O)Nc3c2	NONAGG
120	COc1ccc2[nH]c(SCc3cccc(I)c3)nc2c1	AGG
121	CN(C)c1ccc(NC(=O)c2oc3ccccc3c2)cc1	AGG
122	COc1ccc(CC(=O)NN2C(=O)c3ccccc3N=C2c4ccccc4)cc1	NONAGG
